"tartaric_acid","acetic_acid","citric_acid","residual_sugar","sodium_chloride","total_sulfur_dioxide","density","potassium_sulphate","alcohol","quality"
5.7,0.15,0.28,3.7,0.045,151,0.9913,0.27,11.2,6
7.1,0.25,0.39,2.1,0.036,124,0.9908,0.43,12.2,8
6.8,0.17,0.35,1.8,0.04,84,0.98961,0.57,12,7
5.8,0.33,0.23,5,0.053,106,0.99458,0.52,9,5
6.4,0.37,0.2,5.6,0.117,183,0.99459,0.43,9.5,5
8.9,0.32,0.49,1.6,0.05,131,0.9956,0.34,9.4,5
7,0.31,0.26,7.4,0.069,160,0.9954,0.46,9.8,6
8.3,0.27,0.39,2.4,0.058,107,0.9955,0.59,10.3,5
6.2,0.22,0.27,1.5,0.064,132,0.9938,0.46,9.2,6
5.6,0.18,0.58,1.25,0.034,129,0.98984,0.6,12,7
6.9,0.38,0.29,13.65,0.048,189,0.99784,0.6,9.5,6
6.4,0.37,0.12,5.9,0.056,91,0.99536,0.46,8.4,4
7.3,0.19,0.27,13.9,0.057,155,0.99807,0.41,8.8,8
7.1,0.17,0.38,7.4,0.052,182,0.9958,0.52,9.6,6
5.7,0.25,0.32,12.2,0.041,127,0.99524,0.53,10.4,7
6.8,0.25,0.18,1.4,0.056,137,0.9935,0.42,9.5,5
6.1,0.25,0.48,15.8,0.052,94,0.99782,0.45,9.2,6
7.6,0.23,0.26,15.3,0.067,166,0.9986,0.44,9.2,4
6.7,0.14,0.46,1.6,0.036,92,0.99264,0.49,10.9,5
6.4,0.22,0.3,11.2,0.046,149,0.99479,0.34,10.8,5
7.6,0.31,0.49,3.95,0.044,131,0.9912,0.67,12.8,7
5.3,0.36,0.27,6.3,0.028,132,0.99186,0.4,11.6,6
6.5,0.15,0.32,1.3,0.036,76,0.98964,0.41,12.3,6
6.8,0.475,0.33,3.95,0.047,81,0.98988,0.53,13.4,7
7.9,0.51,0.36,6.2,0.051,173,0.9984,0.53,9.7,5
6.6,0.16,0.3,1.6,0.034,78,0.992,0.44,11.2,6
6.6,0.33,0.31,1.3,0.02,89,0.99035,0.44,12.4,8
5.8,0.32,0.31,2.7,0.049,153,0.99067,0.73,12.2,7
6.7,0.5,0.38,7.5,0.046,175,0.99662,0.54,9.6,5
6,0.25,0.4,5.7,0.052,152,0.99398,0.88,10.5,6
7.9,0.33,0.28,31.6,0.053,176,1.0103,0.38,8.8,6
6.1,0.31,0.58,5,0.039,114,0.9909,0.6,12.3,8
6.3,0.35,0.26,17.6,0.061,198,0.99918,0.49,8.8,5
6.6,0.22,0.28,4.9,0.042,180,0.9952,0.75,9.5,6
7.4,0.19,0.3,1.4,0.057,135,0.993,0.5,9.6,6
7.1,0.49,0.22,2,0.047,307.5,0.9924,0.37,11,3
6.4,0.3,0.38,7.8,0.046,192,0.9955,0.37,9,5
6.5,0.14,0.32,2.7,0.037,89,0.9924,0.74,11.5,7
4.4,0.54,0.09,5.1,0.038,97,0.99022,0.4,12.2,7
7,0.2,0.38,8.1,0.05,173,0.99585,0.54,9.8,6
8.2,0.31,0.43,7,0.047,87,0.99628,0.64,10.6,5
8.6,0.485,0.29,4.1,0.026,101,0.9918,0.38,12.4,5
6.5,0.19,0.3,0.8,0.043,144,0.9936,0.39,9.1,6
6.3,0.36,0.28,2.5,0.035,73,0.98868,0.47,12.8,7
6.1,0.28,0.27,4.7,0.03,140,0.99042,0.42,12.5,8
6.2,0.31,0.26,4.8,0.037,148,0.9928,0.41,10.4,6
6.8,0.41,0.3,8.8,0.045,131,0.9953,0.59,9.9,5
7.4,0.2,0.28,9.1,0.047,95,0.99532,0.47,9.8,7
7.4,0.24,0.4,4.3,0.032,95,0.992,0.39,11.1,6
7.2,0.21,0.36,15.7,0.045,183,0.99922,0.76,9.4,5
6.5,0.3,0.32,2,0.044,90,0.99185,0.68,11,7
6.1,0.31,0.26,2.2,0.051,167,0.9926,0.47,10.4,6
6.5,0.24,0.19,1.2,0.041,111,0.99254,0.46,9.4,6
8,0.33,0.32,4.6,0.041,180,0.99184,0.74,12.2,6
5.4,0.53,0.16,2.7,0.036,128,0.98856,0.53,13.2,8
6.3,0.37,0.37,1.5,0.024,76,0.98876,0.39,12.3,6
5.8,0.28,0.34,2.2,0.037,125,0.98986,0.33,12.8,8
6.3,0.13,0.42,1.1,0.043,146,0.99066,0.72,11.2,7
6.4,0.5,0.16,12.9,0.042,138,0.9974,0.33,9,5
5.6,0.12,0.26,4.3,0.038,97,0.99477,0.46,9.2,5
7.3,0.19,0.27,13.9,0.057,155,0.99807,0.41,8.8,8
6.4,0.35,0.35,5.6,0.034,148,0.99441,0.5,9.8,4
6,0.29,0.25,1.4,0.033,114,0.98794,0.43,13.2,6
6.1,0.37,0.46,12,0.042,210,0.997,0.59,9.7,6
6.6,0.23,0.3,14.9,0.051,118,0.99835,0.54,9,6
6.3,0.27,0.25,5.8,0.038,155,0.995,0.38,9.4,6
6.1,0.18,0.36,2,0.038,249.5,0.9923,0.79,11.3,6
5.8,0.36,0.5,1,0.127,178,0.99212,0.45,9.7,5
7.3,0.24,0.34,15.4,0.05,174,0.9983,0.42,9,6
8.3,0.49,0.23,6.65,0.034,158,0.99344,0.48,11.2,5
6,0.27,0.31,5,0.043,170,0.9924,0.52,11,6
7,0.24,0.25,1.7,0.042,189,0.992,0.42,11.4,6
6.6,0.23,0.32,1.7,0.024,102,0.99084,0.6,11.8,6
6,0.21,0.3,8.7,0.036,127,0.99368,0.39,10.6,5
6.6,0.25,0.51,8,0.047,189,0.99604,0.49,9.2,5
7.5,0.38,0.56,9.7,0.055,170,0.99605,0.65,9.9,6
7.3,0.22,0.41,15.4,0.05,191,1,0.59,8.9,6
6.3,0.32,0.26,12,0.049,170,0.9961,0.55,9.9,6
6.6,0.78,0.5,1.5,0.045,133,0.99104,0.48,11.7,5
6.6,0.31,0.37,6.2,0.052,164,0.99602,0.39,8.8,4
6.1,0.26,0.25,2.9,0.047,440,0.99314,0.64,10.5,3
7.9,0.26,0.33,10.3,0.039,212,0.9969,0.49,9.5,6
7,0.24,0.24,1.8,0.047,91,0.99251,0.43,9.9,6
7.9,0.345,0.51,15.3,0.047,171,0.9987,0.51,9.1,5
7.5,0.2,0.47,16.9,0.052,188,0.99944,0.62,9.3,5
6.8,0.32,0.37,3.4,0.023,87,0.9902,0.53,12.7,6
6.4,0.35,0.28,1.6,0.037,113,0.98779,0.4,14.2,7
6.6,0.28,0.34,0.8,0.037,119,0.9888,0.37,12.5,6
7.5,0.26,0.3,4.6,0.027,92,0.99085,0.38,12,7
7.5,0.15,0.38,1.8,0.054,101,0.9946,0.44,10,5
5.9,0.14,0.2,1.6,0.04,114,0.99105,0.45,11.4,6
7.8,0.3,0.74,1.8,0.033,156,0.991,0.52,12.8,6
8.3,0.18,0.3,1.1,0.033,57,0.99109,0.51,11,6
6.2,0.12,0.34,1.5,0.045,117,0.9939,0.51,9,6
6.4,0.31,0.5,5.8,0.038,111,0.99189,0.53,11.9,7
6.5,0.23,0.45,2.1,0.027,104,0.99054,0.52,11.3,6
6.6,0.17,0.26,7.4,0.052,128,0.99388,0.37,10,6
5.5,0.14,0.27,4.6,0.029,104,0.9949,0.44,9,5
5.4,0.46,0.15,2.1,0.026,130,0.98953,0.77,13.4,8
6.6,0.325,0.49,7.7,0.049,217,0.996,0.4,9.3,5
6.7,0.3,0.29,2.8,0.025,107,0.99159,0.63,11.3,7
7.5,0.34,0.35,6,0.034,126,0.9924,0.39,12,7
7.4,0.3,0.32,1.7,0.03,128,0.9929,0.66,10.9,5
6.6,0.24,0.38,12.75,0.034,74,0.99386,0.57,12.9,6
6,0.34,0.32,3.8,0.044,116,0.99108,0.44,11.8,7
6.8,0.44,0.37,5.1,0.047,201,0.9938,0.65,10.5,4
5.6,0.18,0.27,1.7,0.03,103,0.98892,0.37,12.9,6
6.4,0.22,0.38,9.1,0.044,127,0.99326,0.3,11,7
9.1,0.33,0.38,1.7,0.062,344,0.9958,0.7,9.5,5
4.8,0.26,0.23,10.6,0.034,111,0.99274,0.28,11.5,7
6.2,0.35,0.2,18.1,0.069,158,0.99908,0.5,8.8,6
6.9,0.32,0.26,8.3,0.053,180,0.9965,0.51,9.2,6
6.5,0.33,0.72,1.1,0.061,151,0.993,0.57,9.5,4
7,0.39,0.31,5.3,0.169,162,0.9965,0.48,9.4,5
6.4,0.31,0.31,12.9,0.045,161,0.99546,0.59,10.2,5
7.4,0.155,0.34,2.3,0.045,214,0.9934,0.61,9.9,7
6,0.67,0.07,1.2,0.06,108,0.9931,0.35,8.7,4
6.6,0.34,0.28,1.3,0.035,90,0.9916,0.42,10.7,6
7.2,0.25,0.32,1.5,0.054,105,0.99154,0.48,11.1,6
7.7,0.34,0.58,11.1,0.039,151,0.9978,0.49,8.6,5
8.1,0.2,0.3,1.3,0.036,49,0.99242,0.73,10.3,5
5.9,0.28,0.14,8.6,0.032,142,0.99542,0.44,9.5,6
7.7,0.29,0.48,2.3,0.049,178,0.9931,0.64,10.6,6
6.5,0.26,0.32,16.5,0.045,166,1,0.46,9.5,6
6.9,0.26,0.27,4.2,0.031,80,0.99089,0.39,11.5,6
6.2,0.355,0.35,2,0.046,95,0.98822,0.46,13.6,6
6.5,0.2,0.24,9.2,0.044,150,0.99502,0.44,10.5,5
6.9,0.27,0.4,14,0.05,227,0.9979,0.58,9.6,6
7.6,0.22,0.34,9.7,0.035,143,0.9965,0.49,9.8,6
8.4,0.27,0.3,2.2,0.037,129,0.99085,0.3,11.4666666666667,6
7.2,0.31,0.5,13.3,0.056,195,0.9982,0.47,9.2,5
6.4,0.24,0.25,20.2,0.083,157,0.99976,0.5,9.1,5
8.4,0.22,0.28,18.8,0.028,130,0.998,0.35,11.6,5
6.8,0.22,0.37,15.2,0.051,178,0.99935,0.85,9.3,6
7.2,0.25,0.19,8,0.044,172,0.9964,0.44,9.2,5
5.9,0.33,0.32,8.1,0.038,34,0.9911,0.36,12.7,7
7.6,0.3,0.4,2.2,0.054,175,0.99445,0.53,9.8,5
8.3,0.28,0.27,17.5,0.045,253,1.00014,0.56,9.1,6
6.6,0.295,0.24,1.6,0.039,140,0.99304,0.61,10.4,7
6,0.29,0.41,10.8,0.048,149,0.9937,0.59,10.9666666666667,7
7.4,0.29,0.28,10.2,0.032,138,0.9951,0.47,10.6,6
5,0.255,0.22,2.7,0.043,153,0.99238,0.76,11.3,6
6.1,0.33,0.32,7.8,0.052,183,0.99657,0.65,9.5,5
7.9,0.64,0.46,10.6,0.244,227,0.9983,0.74,9.1,3
7.6,0.26,0.32,1.3,0.048,76,0.9903,0.46,12,6
6.4,0.32,0.5,10.7,0.047,206,0.9968,0.6,9.4,5
7.7,0.12,0.32,1.4,0.06,150,0.9952,0.42,9.2,6
6.7,0.41,0.27,2.6,0.033,85,0.99086,0.34,11.7,6
6.5,0.28,0.35,9.8,0.067,180,0.9972,0.57,9,4
5.7,0.255,0.65,1.2,0.079,137,0.99307,0.42,9.4,5
7.3,0.14,0.49,1.1,0.038,99,0.9928,0.72,10.6,6
7.3,0.26,0.33,17.85,0.049,195,1,0.44,9.1,7
7.3,0.28,0.54,12.9,0.049,162.5,0.9984,0.45,9.1,6
6.8,0.26,0.29,16.95,0.056,179,0.9998,0.4,9.6,5
6.9,0.2,0.41,1.1,0.06,104,0.99317,0.39,9.2,5
7.2,0.46,0.65,10.4,0.05,192,0.9976,0.42,8.7,5
8.3,0.33,0.43,9.2,0.046,126,0.9982,0.47,9.3,5
6.8,0.12,0.3,12.9,0.049,88,0.99654,0.35,9.9,6
6.5,0.21,0.51,17.6,0.045,125,0.99966,0.47,8.8,6
6.1,0.17,0.42,15.1,0.033,124,0.99684,0.47,9.5,5
5.2,0.25,0.23,1.4,0.047,77,0.99001,0.62,11.4,5
6.8,0.24,0.49,19.3,0.057,247,1.00055,0.56,8.7,5
8.2,0.42,0.29,4.1,0.03,100,0.9911,0.32,12.8,7
6,0.26,0.29,3.1,0.041,144,0.98944,0.39,12.8,7
5.9,0.19,0.21,1.7,0.045,135,0.99341,0.44,9.5,5
9,0.17,0.49,1,0.039,131,0.993,0.51,10.5,7
7.8,0.39,0.26,9.9,0.059,181,0.9955,0.42,10.9,6
7.3,0.26,0.33,11.8,0.057,127,0.99693,0.55,10,6
6.4,0.35,0.21,2.1,0.051,171,0.9932,0.5,9.5,5
6.8,0.29,0.56,11.9,0.043,230,0.9972,0.63,9.3,5
6.3,0.27,0.37,7.9,0.047,215,0.99542,0.48,9.5,6
8,0.24,0.26,1.7,0.033,136,0.99316,0.51,10.4,7
8.3,0.49,0.43,2.5,0.036,116,0.9944,0.47,10.7,6
6.9,0.16,0.3,9.6,0.057,185,0.9978,0.38,9.6,6
7,0.33,0.28,5.7,0.033,204,0.99176,0.64,12.5,6
4.8,0.225,0.38,1.2,0.074,130,0.99132,0.4,10.3,6
7,0.16,0.26,7.3,0.047,220,0.99622,0.58,10.1,6
6.4,0.37,0.37,4.85,0.041,216.5,0.99432,0.5,9.8,6
8.4,0.35,0.56,13.8,0.048,190,0.9993,0.58,9.4,6
7.2,0.31,0.41,8.6,0.053,89,0.9976,0.64,9.9,6
6.6,0.58,0.3,5.1,0.057,123,0.9949,0.38,9,5
7.6,0.19,0.38,10.6,0.06,174,0.9962,0.38,10.5,6
6.4,0.4,0.25,4.2,0.032,91,0.98988,0.52,13.1,6
8.5,0.23,0.28,11.1,0.033,97,0.99507,0.39,10.5,7
6.1,0.28,0.35,12.8,0.048,229,0.9975,0.4,8.9,5
5.5,0.31,0.29,3,0.027,102,0.99067,0.56,11.2,6
6.3,0.15,0.3,1.4,0.022,100,0.99099,0.57,11.4,7
5.9,0.27,0.27,5,0.035,97,0.99058,0.33,11.8,7
6.5,0.26,0.27,12.9,0.044,215,0.9967,0.43,10,6
6.2,0.21,0.28,5.7,0.028,121,0.99168,1.08,12.15,7
6.8,0.53,0.35,3.8,0.034,109,0.9906,0.57,12.7,8
5.8,0.28,0.34,4,0.031,99,0.9896,0.39,12.8,7
8.5,0.23,0.4,9.9,0.036,88,0.9951,0.42,10.5,6
8.4,0.19,0.43,2.1,0.052,104,0.994,0.46,9.5,5
7.1,0.18,0.36,1.4,0.043,87,0.9898,0.37,12.7,7
8,0.4,0.33,7.7,0.034,98,0.9935,0.41,12.2,7
6,0.32,0.3,7.3,0.174,159,0.99519,0.49,9.4,5
6.9,0.26,0.49,1.6,0.058,166,0.9965,0.52,9.4,4
6.4,0.29,0.3,6.5,0.209,156,0.99478,0.4,9.4,5
6.8,0.22,0.29,8.9,0.046,188,0.9955,0.44,10.3,6
8.3,0.2,0.35,0.9,0.05,74,0.992,0.38,10.5,6
6.2,0.26,0.37,7.1,0.047,201,0.99523,0.48,9.5,6
6.5,0.27,0.26,11,0.03,82,0.99402,0.36,11.2,5
6.8,0.27,0.22,17.8,0.034,116,0.9989,0.53,9.2,5
6.6,0.26,0.31,4.8,0.138,168,0.9951,0.38,9.3,5
6,0.23,0.15,9.7,0.048,207,0.99571,0.3,9.1,5
8.4,0.29,0.29,1.05,0.032,55,0.9908,0.32,11.4,4
7.1,0.39,0.39,11.1,0.034,204,0.99616,0.52,10,6
4.8,0.34,0,6.5,0.028,163,0.9939,0.61,9.9,6
6.7,0.42,0.46,9.7,0.054,234,0.99848,0.5,9,5
5.8,0.32,0.28,4.3,0.032,115,0.98946,0.57,13,8
5.6,0.12,0.33,2.9,0.044,73,0.98896,0.32,12.9,8
6,0.26,0.29,1,0.032,96,0.9896,0.44,12.3,6
6.4,0.15,0.4,1.5,0.042,87,0.98972,0.46,12.2,7
8.2,0.23,0.49,0.9,0.057,73,0.9928,0.38,10.4,6
7,0.3,0.32,6.4,0.034,97,0.9924,0.44,11.8,6
6,0.21,0.24,12.1,0.05,164,0.997,0.39,9.4,5
6.8,0.28,0.6,1.1,0.132,127,0.9934,0.44,9.1,6
7.9,0.22,0.24,4.6,0.044,159,0.9927,0.28,11.5,6
6.5,0.36,0.31,4.1,0.061,134,0.99475,0.45,9,6
7.1,0.21,0.28,2.7,0.034,111,0.99405,0.64,10.2,4
6.2,0.27,0.18,1.5,0.028,111,0.99228,0.5,10,5
8,0.23,0.37,9.6,0.054,159,0.99795,0.47,9.8,4
5.8,0.36,0.38,0.9,0.037,75,0.9904,0.34,11.4,4
7.9,0.41,0.37,4.5,0.03,114,0.992,0.54,12.4,7
8.3,0.2,0.49,1.7,0.038,167,0.9939,0.37,10.1,6
6.8,0.18,0.3,12.8,0.062,171,0.99808,0.52,9,7
7.3,0.22,0.5,13.7,0.049,189,0.9994,0.66,9,6
5.8,0.32,0.2,2.6,0.027,123,0.98936,0.78,13.9,7
6.8,0.26,0.56,11.9,0.043,226,0.997,0.63,9.3,5
6.2,0.45,0.26,4.4,0.063,206,0.994,0.52,9.8,4
7.1,0.21,0.28,2.7,0.034,111,0.99405,0.64,10.2,4
6.2,0.32,0.12,4.8,0.054,97,0.99424,0.5,9.3,5
6.7,0.23,0.31,2.1,0.046,96,0.9926,0.64,10.7,8
7.6,0.33,0.41,13.7,0.045,197,0.9989,0.64,9.1,5
5.8,0.22,0.29,0.9,0.034,89,0.98936,0.36,11.1,7
14.2,0.27,0.49,1.1,0.037,156,0.992,0.54,11.1,6
7.2,0.23,0.39,14.2,0.058,192,0.9979,0.48,9,7
7.6,0.3,0.25,4.3,0.054,111,0.9956,0.49,9.2,5
7.5,0.23,0.3,1.2,0.03,80,0.99192,0.68,10.5,5
7.2,0.24,0.4,17.85,0.049,185,1,0.42,9.6,5
6.5,0.35,0.28,12.4,0.051,213,0.9962,0.51,9.9,6
6.2,0.3,0.33,3.5,0.037,155,0.98987,0.37,12.4,6
7.2,0.2,0.3,2,0.039,188,0.9911,0.41,12,6
6.8,0.3,0.24,6.6,0.123,116,0.9953,0.48,9.4,5
6,0.17,0.21,6,0.05,134,0.9939,0.54,9.8,6
6.9,0.4,0.17,12.9,0.033,186,0.99754,0.49,9.4,5
6.7,0.24,0.36,8.4,0.042,123,0.99473,0.52,10.9,6
7.4,0.19,0.31,14.5,0.045,193,0.9986,0.5,9.2,6
6.5,0.115,0.29,1.95,0.038,166,0.989,0.25,12.9,7
7,0.16,0.32,8.3,0.045,126,0.9958,0.34,9.2,5
6.8,0.22,0.36,1.2,0.052,127,0.9933,0.54,9.2,5
6.5,0.18,0.33,1.4,0.029,138,0.99114,0.6,11.5,7
6.6,0.2,0.27,10.9,0.038,130,0.99496,0.44,10.5,7
7.1,0.18,0.74,15.6,0.044,176,0.9996,0.67,9,6
7.1,0.14,0.33,1,0.104,54,0.99057,0.64,11.5,6
6.1,0.25,0.3,1.2,0.036,107,0.991,0.56,10.8,7
7.5,0.19,0.49,1.8,0.055,110,0.9946,0.44,9.9,5
6.5,0.29,0.52,7.9,0.049,192,0.99551,0.51,9.5,6
7.3,0.15,0.4,2,0.05,92,0.9932,0.45,10.5,5
7,0.34,0.3,1.8,0.045,142,0.9914,0.45,10.8,6
7.9,0.18,0.49,5.2,0.051,157,0.9953,0.48,10.6,6
7.7,0.31,0.23,2,0.069,134,0.99382,0.62,9.8,5
6.5,0.22,0.72,6.8,0.042,168,0.9958,0.36,9.2,6
6.2,0.25,0.25,1.4,0.03,105,0.9912,0.44,11.1,7
10.3,0.17,0.47,1.4,0.037,33,0.9939,0.28,9.6,3
7.4,0.27,0.26,11.8,0.053,173,0.99699,0.6,9.8,5
6.8,0.18,0.35,5.4,0.054,143,0.99287,0.54,11,7
6.6,0.35,0.35,6,0.063,150,0.99537,0.47,9.4,6
6.1,0.16,0.24,1.4,0.046,77,0.99319,0.57,10.3,6
6.4,0.105,0.29,1.1,0.035,140,0.99142,0.55,10.7,7
8.1,0.34,0.28,7.5,0.04,230,0.99558,0.55,9.8,6
6.6,0.39,0.39,11.9,0.057,221,0.99851,0.51,8.9,6
7.8,0.21,0.49,1.35,0.052,48,0.9911,0.28,11.4,5
6.6,0.28,0.09,10.9,0.051,131,0.99566,0.62,9.5,6
6.9,0.4,0.43,6.2,0.065,178,0.99552,0.53,9.4,5
9,0.2,0.33,3.5,0.049,40,0.9944,0.36,9.8,6
6.7,0.19,0.34,1,0.022,94,0.9912,0.57,11.1,6
6.5,0.22,0.5,16.4,0.048,182,0.99904,0.49,8.8,6
6.6,0.24,0.38,8,0.042,187,0.99577,0.46,9.2,5
6.6,0.34,0.25,4.8,0.038,121,0.99198,0.71,12.6,6
8.2,0.23,0.37,1.3,0.042,117,0.9928,0.36,10,5
6.1,0.22,0.4,1.85,0.031,111,0.98966,0.3,11.8,7
5.2,0.155,0.33,1.6,0.028,59,0.98975,0.84,11.9,8
6.5,0.32,0.12,11.5,0.033,165,0.9974,0.32,9,5
7.8,0.28,0.34,1.6,0.028,118,0.9901,0.38,12.1,7
7.2,0.31,0.35,7.2,0.046,178,0.9955,0.53,9.7,5
6.6,0.28,0.23,10.4,0.049,190,0.99754,0.51,8.8,5
6.1,0.21,0.38,1.5,0.039,122,0.98972,0.43,12,6
5.8,0.13,0.22,12.7,0.058,183,0.9956,0.42,11.7,6
7.8,0.25,0.34,13.7,0.044,184,0.99976,0.75,8.9,5
7.2,0.24,0.29,3,0.036,117,0.99411,0.68,10.1,6
6.3,0.27,0.46,11.75,0.037,212,0.9971,0.53,9.5,6
7.7,0.24,0.27,1.8,0.051,190,0.9928,0.5,10.8,6
6.8,0.18,0.3,12.8,0.062,171,0.99808,0.52,9,7
7.4,0.2,0.37,16.95,0.048,190,0.9995,0.42,9.2,6
7.6,0.27,0.29,2.5,0.059,115,0.99328,0.37,9.8,5
7.4,0.16,0.49,1.2,0.055,150,0.9917,0.47,11.2,6
7.2,0.2,0.25,4.5,0.044,109,0.9949,0.36,9.4,5
6.9,0.3,0.33,4.1,0.035,155,0.9925,0.79,12.3,8
6.7,0.21,0.34,1.4,0.049,112,0.99091,0.5,11,6
6.7,0.19,0.32,3.7,0.041,76,0.99173,0.57,10.5,7
9,0.55,0.3,8.1,0.026,71,0.993,0.36,11.8,5
6.6,0.24,0.28,6.7,0.032,91,0.99172,0.32,12.3,6
6.2,0.24,0.27,16.8,0.04,129,0.99691,0.38,10.5,6
7.4,0.32,0.27,12.9,0.04,221,0.99831,0.66,9.4,5
7,0.21,0.34,8,0.057,101,0.9954,0.59,9.4,5
6.4,0.15,0.36,1.8,0.034,150,0.9922,0.69,11,8
6,0.22,0.25,11.1,0.056,177,0.9961,0.36,9.4,6
7.3,0.26,0.49,5,0.028,107,0.9936,0.54,10.8,6
6.1,0.41,0,1.6,0.063,87,0.9914,0.67,10.8,6
6.6,0.22,0.23,17.3,0.047,118,0.99906,0.46,8.8,6
5.1,0.42,0.01,1.5,0.017,102,0.9894,0.36,12.3,7
6.1,0.44,0.28,4.25,0.032,132,0.9916,0.47,11.2666666666667,7
7.5,0.33,0.38,8.7,0.126,199,0.99711,0.57,9.4,5
6.6,0.39,0.28,9.2,0.036,92,0.99206,0.35,12.1,6
