"tartaric_acid","acetic_acid","citric_acid","residual_sugar","sodium_chloride","total_sulfur_dioxide","density","potassium_sulphate","alcohol","quality"
6.9,0.21,0.33,1.8,0.034,136,0.9899,0.41,12.6,7
7.1,0.26,0.29,12.4,0.044,240,0.9969,0.42,9.2,6
6,0.34,0.66,15.9,0.046,164,0.9979,0.5,8.8,6
8.6,0.265,0.36,1.2,0.034,80,0.9913,0.36,11.4,7
7.3,0.13,0.32,14.4,0.051,109,0.9974,0.35,9.2,6
6.5,0.17,0.54,8.5,0.082,163,0.9959,0.39,8.8,6
6.7,0.41,0.34,9.2,0.049,150,0.9968,0.51,9.1,5
7.3,0.32,0.48,13.3,0.06,196,0.9982,0.5,9.2,5
7.4,0.16,0.31,6.85,0.059,131,0.9952,0.34,9.7,5
6.4,0.13,0.47,1.6,0.092,158,0.9928,0.36,9.8,6
7.4,0.39,0.23,7,0.033,126,0.994,0.42,10.5,5
5.7,0.26,0.25,10.4,0.02,57,0.994,0.37,10.6,5
6.6,0.24,0.27,15.8,0.035,188,0.9982,0.51,9.2,5
8.2,0.23,0.4,1.2,0.027,121,0.992,0.38,10.7,6
7.1,0.37,0.67,10.5,0.045,155,0.9975,0.44,8.7,5
6.8,0.19,0.36,1.9,0.035,96,0.9917,0.54,10.8,7
6.3,0.31,0.34,2.2,0.045,77,0.9927,0.43,10.2,5
8.5,0.21,0.41,4.3,0.036,99,0.9947,0.53,9.7,6
5.6,0.16,0.27,1.4,0.044,168,0.9918,0.37,10.1,6
7.9,0.22,0.38,8,0.043,152,0.9934,0.32,11.5,7
7.6,0.18,0.46,10.2,0.055,135,0.9968,0.43,9.9,6
8.2,0.23,0.4,7.5,0.049,76,0.9966,0.84,9.7,6
5.2,0.44,0.04,1.4,0.036,119,0.9894,0.33,12.1,8
6.7,0.24,0.35,13.1,0.05,205,0.997,0.5,9.5,5
7.9,0.19,0.45,1.5,0.045,96,0.9917,0.39,11,6
7.5,0.27,0.31,17.7,0.051,173,0.999,0.64,10.2,5
7.2,0.32,0.47,5.1,0.044,65,0.991,0.41,12.6,4
7.1,0.34,0.15,1.2,0.053,183,0.9936,0.43,9.2,5
6.4,0.29,0.44,3.6,0.2,181,0.9942,0.41,9.1,5
7.1,0.32,0.24,13.1,0.05,204,0.998,0.49,8.8,5
6.8,0.27,0.26,16.1,0.049,196,0.9984,0.5,9.3,5
5.8,0.28,0.35,2.3,0.053,114,0.9924,0.5,10.2,4
10.2,0.44,0.88,6.2,0.049,124,0.9968,0.51,9.9,4
6.1,0.4,0.31,0.9,0.048,170,0.993,0.77,9.5,6
7.2,0.685,0.21,9.5,0.07,172,0.9971,0.55,9.1,6
6.4,0.17,0.32,2.4,0.048,200,0.9938,0.5,9.7,6
7.2,0.23,0.38,14.3,0.058,194,0.9979,0.44,9,6
5.6,0.19,0.26,1.4,0.03,76,0.9905,0.37,10.9,7
6.1,0.41,0.14,10.4,0.037,119,0.996,0.45,10,5
6.7,0.26,0.39,1.1,0.04,147,0.9935,0.58,9.6,8
6.3,0.35,0.3,5.7,0.035,97,0.9927,0.41,11,7
6.9,0.28,0.4,8.2,0.036,95,0.9944,0.33,10.2,5
7.2,0.29,0.4,13.6,0.045,231,0.9977,0.59,9.6,6
6.9,0.29,0.4,19.45,0.043,156,0.9996,0.47,8.9,5
5.3,0.58,0.07,6.9,0.043,149,0.9944,0.57,9.7,5
6.6,0.19,0.41,8.9,0.046,169,0.9954,0.57,9.8,6
6.7,0.2,0.41,9.1,0.044,166,0.9954,0.58,9.8,6
7.7,0.26,0.4,1.1,0.042,60,0.9915,0.5,10.6,5
6.7,0.34,0.3,15.6,0.054,196,0.9982,0.49,9.3,5
7.1,0.35,0.24,15.4,0.055,198,0.9988,0.49,8.8,5
7.3,0.32,0.25,7.2,0.056,180,0.9961,0.47,8.8,5
6.5,0.28,0.33,15.7,0.053,190,0.9978,0.51,9.7,6
7.2,0.23,0.39,14.2,0.058,192,0.9979,0.48,9,7
7.2,0.23,0.39,14.2,0.058,192,0.9979,0.48,9,7
6.1,0.41,0,1.6,0.063,87,0.9914,0.67,10.8,6
7.2,0.43,0.24,6.7,0.058,163,0.995,0.41,9.9,5
7.3,0.4,0.24,6.7,0.058,166,0.995,0.41,9.9,6
5.8,0.34,0.21,6.6,0.04,167,0.9941,0.62,10,5
6.6,0.24,0.35,7.7,0.031,135,0.9938,0.37,10.5,5
6.1,0.125,0.25,3.3,0.04,69,0.9934,0.59,10.1,6
6.8,0.28,0.44,9.3,0.031,137,0.9946,0.36,10.4,6
7.5,0.27,0.31,5.8,0.057,313,0.9946,0.59,10.5,5
6.4,0.34,0.23,6.3,0.039,143,0.9944,0.65,10,6
7.2,0.21,0.41,1.3,0.036,85,0.992,0.51,10.4,5
6.8,0.24,0.34,4.6,0.032,135,0.9927,0.39,10.6,5
6.4,0.26,0.42,9.7,0.044,140,0.9962,0.47,9.1,6
7.8,0.18,0.46,13.6,0.052,118,0.998,0.5,10,6
7.3,0.33,0.4,6.85,0.038,138,0.992,0.3,11.9,7
5.5,0.335,0.3,2.5,0.071,128,0.9924,0.51,9.6,6
7.3,0.22,0.37,14.3,0.063,191,0.9978,0.38,9,6
6.1,0.36,0.33,1.1,0.05,169,0.9927,0.78,9.5,6
10,0.2,0.39,1.4,0.05,152,0.994,0.42,10.4,6
6.9,0.24,0.34,4.7,0.04,161,0.9935,0.59,10.6,6
7.1,0.365,0.14,1.2,0.055,84,0.9941,0.43,8.9,5
6.8,0.15,0.3,5.3,0.05,127,0.9942,0.39,9.7,6
7.3,0.22,0.37,14.3,0.063,191,0.9978,0.38,9,6
6,0.36,0.39,3.2,0.027,125,0.991,0.39,11.3,7
6.7,0.21,0.32,5.4,0.047,140,0.995,0.46,9.7,6
6.8,0.22,0.31,6.3,0.035,170,0.9918,0.66,12.6,6
8.2,0.28,0.42,1.8,0.031,93,0.9917,0.39,11.4,5
7.2,0.25,0.39,18.95,0.038,155,0.9999,0.47,9,6
7.2,0.19,0.39,1.2,0.036,85,0.9918,0.5,10.5,5
7.4,0.21,0.27,1.2,0.041,99,0.9927,0.33,9.8,6
7.4,0.31,0.28,1.6,0.05,137,0.9929,0.56,10.5,6
7,0.21,0.28,8.6,0.045,221,0.9954,0.54,10.4,6
7,0.21,0.28,8.6,0.045,221,0.9954,0.54,10.4,6
7,0.21,0.28,8.7,0.045,222,0.9954,0.54,10.4,6
6.8,0.29,0.5,13.3,0.053,194,0.9974,0.45,9.4,5
6.4,0.34,0.1,1.1,0.048,84,0.9927,0.38,9.8,5
6.1,0.28,0.32,2.5,0.042,218.5,0.9935,0.6,9.8,5
6.6,0.16,0.32,1.4,0.035,186,0.9906,0.64,12.4,8
7.1,0.32,0.32,11,0.038,66,0.9937,0.4,11.5,3
6.5,0.41,0.24,14,0.048,113,0.9982,0.53,9.8,6
6.5,0.41,0.24,14,0.048,113,0.9982,0.53,9.8,6
6.1,0.2,0.25,1.2,0.038,128,0.9921,0.44,10.1,5
6,0.37,0.32,1,0.053,218.5,0.9924,0.72,9.8,6
6.1,0.43,0.35,9.1,0.059,249,0.9971,0.5,8.5,5
6.8,0.32,0.21,2.2,0.044,68,0.9932,0.39,9.4,6
7.2,0.39,0.62,11,0.047,178,0.9976,0.5,8.7,5
7.2,0.29,0.53,18.15,0.047,182,0.9992,0.52,9.6,5
8.6,0.37,0.7,12.15,0.039,158,0.9983,0.73,9.3,6
6.5,0.38,0.34,3.4,0.036,200,0.9937,0.76,10,5
5.9,0.36,0.41,1.3,0.047,104,0.9917,0.51,10.6,6
7.8,0.19,0.26,8.9,0.039,182,0.996,0.46,9.9,6
5.7,0.335,0.34,1,0.04,174,0.992,0.66,10,5
7.2,0.28,0.54,16.7,0.045,200,0.999,0.49,9.5,6
6.4,0.3,0.3,2.25,0.038,210,0.9937,0.62,9.9,6
6.5,0.3,0.29,2.25,0.037,210,0.9937,0.62,9.9,5
7.8,0.18,0.31,12.2,0.053,140,0.998,0.53,8.9,6
7.3,0.51,0.26,3.3,0.09,135,0.9944,0.52,8.8,5
6,0.24,0.27,1.9,0.048,170,0.9938,0.54,10,7
7.2,0.34,0.34,12.6,0.048,41,0.9942,0.4,11.7,5
5.6,0.35,0.37,1,0.038,72,0.9902,0.34,11.4,5
7.2,0.31,0.46,5,0.04,29,0.9906,0.53,12.5,4
6.4,0.1,0.35,4.9,0.048,103,0.9947,0.79,9.7,6
7.4,0.25,0.36,13.2,0.067,178,0.9976,0.48,9,6
5.5,0.35,0.35,1.1,0.045,167,0.992,0.68,9.9,6
6.7,0.24,0.41,8.7,0.036,148,0.9952,0.62,9.9,6
6.4,0.16,0.22,1.4,0.04,149,0.9933,0.58,10,6
7.7,0.22,0.42,1.9,0.052,87,0.9922,0.49,11.8,6
9.2,0.25,0.34,1.2,0.026,93,0.9916,0.37,11.3,7
7,0.3,0.51,13.6,0.05,168,0.9976,0.52,9.6,7
7.8,0.28,0.34,1.6,0.028,118,0.9901,0.38,12.1,7
8.4,0.35,0.71,12.2,0.046,160,0.9982,0.65,9.4,5
6.1,0.41,0.24,1.6,0.049,137,0.993,0.5,10.4,6
7.2,0.34,0.44,4.2,0.047,144,0.991,0.76,12.3,6
7.4,0.3,0.22,1.4,0.046,135,0.9928,0.77,10.4,7
6.5,0.28,0.27,5.2,0.04,179,0.9948,0.69,9.4,6
6.5,0.28,0.29,2.7,0.038,107,0.9912,0.41,11.6,7
6.7,0.34,0.54,16.3,0.047,181,0.9987,0.56,8.8,5
7.4,0.2,0.33,1.9,0.035,138,0.991,0.44,11.7,7
8.2,0.22,0.3,1.8,0.047,185,0.9933,0.5,10.2,6
6.5,0.28,0.29,2.7,0.038,107,0.9912,0.41,11.6,7
6,0.38,0.26,6,0.034,134,0.9912,0.38,12.3,7
6.9,0.41,0.33,10.1,0.043,152,0.9968,0.52,9.4,5
6.4,0.45,0.07,1.1,0.03,131,0.9905,0.28,10.8,5
6.9,0.41,0.33,10.1,0.043,152,0.9968,0.52,9.4,5
7,0.29,0.37,4.9,0.034,127,0.9928,0.44,10.8,6
7.2,0.24,0.4,1.4,0.045,106,0.9914,0.38,10.8,6
7.3,0.25,0.29,7.5,0.049,158,0.9965,0.38,9.6,5
7.8,0.26,0.27,1.9,0.051,195,0.9928,0.5,10.9,6
6,0.36,0.06,1.4,0.066,128,0.9934,0.55,9.3,5
6.2,0.24,0.29,13.3,0.039,130,0.9952,0.46,11,8
5.8,0.31,0.33,1.2,0.036,99,0.9916,0.6,10.5,6
7,0.23,0.42,18.05,0.05,144,0.9999,0.42,8.8,5
6.9,0.24,0.33,4.8,0.04,131,0.9936,0.64,10.7,6
6,0.29,0.2,12.6,0.045,187,0.9972,0.42,9.5,5
5.9,0.14,0.25,4.5,0.027,140,0.9934,0.51,10.8,6
7.4,0.28,0.25,11.9,0.053,148,0.9976,0.62,9.2,5
5.6,0.235,0.29,1.2,0.047,127,0.991,0.5,11,7
6.3,0.26,0.25,7.8,0.058,166,0.9961,0.41,9,5
7.1,0.26,0.34,14.4,0.067,189,0.9986,0.53,9.1,7
7.1,0.26,0.34,14.4,0.067,189,0.9986,0.53,9.1,7
5.9,0.24,0.26,12.3,0.053,134,0.9972,0.45,9.5,6
6.5,0.21,0.37,2.5,0.048,138,0.9917,0.75,11.4,7
7.3,0.34,0.21,3.2,0.05,136,0.9936,0.44,10.2,5
6.8,0.29,0.16,1.4,0.038,234.5,0.9922,0.47,10,4
7.1,0.28,0.26,1.9,0.049,86,0.9934,0.38,9.4,5
7.8,0.42,0.26,9.2,0.058,199,0.9972,0.55,9.3,6
6.7,0.31,0.3,2.1,0.038,130,0.9928,0.63,10.6,6
5.9,0.29,0.25,12,0.057,224,0.9981,0.41,9,6
6.8,0.34,0.69,1.3,0.058,171,0.9931,0.47,9.7,5
6.4,0.27,0.32,4.5,0.24,174,0.9948,0.48,9.4,5
6.8,0.67,0.3,13,0.29,193,0.9984,0.67,9,4
6,0.36,0.16,6.3,0.036,191,0.9942,0.62,9.8,5
5.9,0.37,0.14,6.3,0.036,185,0.9944,0.63,9.8,5
7.6,0.29,0.58,17.5,0.041,225,0.9997,0.66,9.5,6
7.5,0.31,0.51,14.8,0.039,204,0.9982,0.6,9.5,5
8.4,0.4,0.7,13.1,0.042,197,0.998,0.64,9.7,5
6.6,0.38,0.18,1.2,0.042,84,0.9927,0.45,10.1,4
7.7,0.2,0.44,13.9,0.05,130,0.99855,0.48,10,6
6.1,0.25,0.24,12.1,0.046,172,0.998,0.45,9.5,5
8.2,0.27,0.43,1.6,0.035,128,0.9916,0.5,12.3,6
6.4,0.31,0.39,7.5,0.04,213,0.99475,0.43,10,5
6,0.39,0.26,2.7,0.038,187,0.99325,0.5,10.8,6
6,0.3,0.44,1.5,0.046,182,0.99455,0.52,10.4,5
8.8,0.28,0.45,6,0.022,49,0.9934,0.33,11.1,7
6.9,0.38,0.25,9.8,0.04,191,0.9971,0.61,9.2,5
6.9,0.38,0.25,9.8,0.04,191,0.9971,0.61,9.2,5
6.9,0.39,0.4,4.6,0.022,19,0.9915,0.37,12.6,3
7.4,0.38,0.27,7.5,0.041,160,0.99535,0.43,10,5
7.4,0.2,1.66,2.1,0.022,113,0.99165,0.55,12.2,6
6.9,0.18,0.38,8.1,0.049,176,0.9958,0.54,9.8,6
7.2,0.29,0.4,7.6,0.024,177,0.9928,0.32,11.5,6
6.9,0.2,0.5,10,0.036,167,0.9964,0.55,10.2,6
5.8,0.25,0.28,11.1,0.056,175,0.99755,0.43,9.5,5
6.9,0.18,0.38,8.1,0.049,176,0.9958,0.54,9.8,6
5,0.44,0.04,18.6,0.039,128,0.9985,0.57,10.2,6
6.3,0.3,0.28,5,0.042,168,0.99505,0.69,9.5,6
7.2,0.27,0.42,1.6,0.05,135,0.992,0.46,11,6
6.8,0.12,0.31,5.2,0.045,120,0.9942,0.46,9.8,7
8.3,0.14,0.45,1.5,0.039,98,0.99215,0.56,11,6
6.9,0.22,0.37,15,0.053,178,0.9992,0.82,9.5,7
8.1,0.17,0.44,14.1,0.053,145,1.0006,0.75,8.8,8
6,0.395,0,1.4,0.042,55,0.99135,0.38,11.2,4
7.7,0.34,0.28,11,0.04,117,0.99815,0.29,9.2,6
6.9,0.24,0.33,12.5,0.046,153,0.9983,0.77,9.6,6
6.8,0.39,0.35,11.6,0.044,220,0.99775,0.53,9.3,5
6.6,0.21,0.31,11.4,0.039,165,0.99795,0.44,9.8,7
7.3,0.32,0.34,6.6,0.032,112,0.99505,0.46,9.8,6
7.8,0.27,0.58,11.2,0.036,161,0.9977,0.41,8.9,6
6,0.28,0.49,6.8,0.048,222,0.9953,0.47,9.3,5
6.4,0.35,0.28,1.1,0.055,160,0.99405,0.5,9.1,7
7.9,0.35,0.24,15.6,0.072,229,0.99785,0.59,10.5,6
8.4,0.18,0.42,5.1,0.036,77,0.9939,0.52,11.7,5
6.2,0.3,0.17,2.8,0.04,125,0.9939,0.46,9,5
6.6,0.56,0.22,8.9,0.034,133,0.99675,0.51,9.1,5
7,0.21,0.37,7.2,0.042,167,0.9958,0.56,9.8,6
7.1,0.16,0.36,1.2,0.043,90,0.9925,0.42,11,7
7.4,0.17,0.4,5.5,0.037,161,0.9935,0.62,11.5,4
6.9,0.25,0.34,1.3,0.035,82,0.99045,0.44,12.2,6
7.3,0.205,0.31,1.7,0.06,110,0.9963,0.69,10.5,6
7.5,0.42,0.34,4.3,0.04,108,0.99155,0.45,12.8,8
8.7,0.23,0.32,13.4,0.044,169,0.99975,0.47,8.8,7
6,0.2,0.24,1.8,0.03,105,0.9909,0.47,11.5,6
8.2,0.38,0.49,13.6,0.042,166,0.99855,0.54,9.4,5
6.9,0.18,0.36,1.3,0.036,117,0.9934,0.95,9.5,7
6.9,0.18,0.36,1.3,0.036,117,0.9934,0.95,9.5,7
8.2,0.4,0.48,13.7,0.042,169,0.9986,0.52,9.4,5
7.3,0.25,0.42,14.2,0.041,182,0.9996,0.75,9.1,7
6.2,0.28,0.33,1.7,0.029,111,0.99,0.5,12.1,6
4.8,0.33,0,6.5,0.028,163,0.9937,0.61,9.9,5
6.1,0.27,0.33,2.2,0.021,117,0.9886,0.3,12.5,6
7.8,0.18,0.46,12.6,0.042,143,1,0.76,8.5,8
7.3,0.24,0.29,1.2,0.037,97,0.9926,0.7,10.1,6
6,0.45,0.65,9.7,0.08,159,0.9956,0.48,9.4,5
7.7,0.15,0.29,1.3,0.029,64,0.9932,0.39,10.1,5
7.1,0.21,0.32,2.2,0.037,141,0.993,0.57,10,7
6,0.28,0.34,1.6,0.119,104,0.9921,0.38,10.2,6
6.2,0.16,0.54,1.4,0.126,110,0.9932,0.37,8.9,6
7.4,0.26,0.43,6,0.022,125,0.9928,0.55,11.5,6
6.5,0.3,0.32,2,0.044,90,0.99185,0.68,11,7
5.8,0.26,0.18,1.2,0.031,114,0.9908,0.4,11,7
5.6,0.19,0.39,1.1,0.043,67,0.9918,0.53,10.3,6
6.8,0.18,0.28,8.7,0.047,242,0.9952,0.53,10.5,6
6.8,0.18,0.28,8.5,0.047,242,0.9952,0.53,10.5,6
7.4,0.13,0.39,4.7,0.042,137,0.995,0.56,10.3,7
7,0.24,0.34,1.4,0.031,107,0.99,0.39,11.9,6
7,0.11,0.32,4.6,0.057,144,0.9956,0.44,9.4,7
5.4,0.595,0.1,2.8,0.042,80,0.9932,0.38,9.3,5
6.5,0.25,0.35,12,0.055,179,0.998,0.47,10,5
6.1,0.36,0.58,15,0.044,115,0.9978,0.51,9,5
6.5,0.26,0.28,12.5,0.046,225,0.99685,0.41,10,6
5.9,0.29,0.33,7.4,0.037,205,0.99495,0.41,9.6,5
6.1,0.27,0.44,6.7,0.041,230,0.99505,0.4,8.9,5
6.4,0.43,0.32,1.4,0.048,67,0.992,0.41,11.4,5
7.7,0.24,0.29,15.3,0.044,194,0.9982,0.47,9.6,7
6.5,0.18,0.33,8,0.051,131,0.9965,0.44,8.7,7
6.7,0.15,0.29,5,0.058,105,0.9946,0.44,10.2,7
8.5,0.16,0.35,1.6,0.039,147,0.9935,0.36,10,5
6.8,0.705,0.25,3.2,0.048,57,0.996,0.52,9.5,4
7.6,0.345,0.26,1.9,0.043,134,0.9936,0.38,9.5,5
7.5,0.32,0.26,1.8,0.042,133,0.9938,0.38,9.5,5
6.6,0.2,0.32,1.1,0.039,78,0.9926,0.54,10.2,7
7.3,0.24,0.34,15.4,0.05,174,0.9983,0.42,9,6
7.3,0.24,0.34,15.4,0.05,174,0.9983,0.42,9,6
8.3,0.23,0.43,3.2,0.035,101,0.9928,0.36,11.5,5
6.5,0.34,0.28,1.8,0.041,188,0.9928,0.37,9.6,6
7.1,0.13,0.38,1.8,0.046,114,0.9925,0.9,11.7,6
6.6,0.13,0.3,4.9,0.058,131,0.9946,0.45,10.3,6
6.5,0.14,0.33,7.6,0.05,189,0.9966,0.49,8.6,5
6,0.2,0.71,1.6,0.15,54,0.9927,0.47,9.8,5
6,0.19,0.71,1.5,0.152,55,0.9927,0.46,9.8,6
5.1,0.39,0.21,1.7,0.027,72,0.9894,0.45,12.5,6
7.4,0.28,0.3,5.3,0.054,161,0.9941,0.48,10.3,6
7.4,0.3,0.3,5.2,0.053,163,0.9941,0.45,10.3,6
6.5,0.25,0.27,15.2,0.049,217,0.9972,0.39,9.9,5
7,0.24,0.18,1.3,0.046,62,0.994,0.47,10.1,4
6.1,0.24,0.27,9.8,0.062,152,0.9966,0.47,9.5,6
8,0.19,0.36,1.8,0.05,84,0.9936,0.45,9.8,7
6.9,0.24,0.39,1.3,0.063,136,0.9928,0.48,10.4,7
6.6,0.18,0.28,3.3,0.044,91,0.993,0.64,10.8,6
5.8,0.36,0.26,3.3,0.038,153,0.9911,0.55,11.3,6
6.1,0.16,0.27,12.6,0.064,162,0.9994,0.43,8.9,5
7.6,0.39,0.22,2.8,0.036,113,0.9926,0.29,10.2,5
6.8,0.37,0.47,11.2,0.071,136,0.9968,0.88,9.2,5
8.3,0.14,0.26,1.5,0.049,189,0.9946,0.62,9.5,6
8.6,0.2,0.42,1.5,0.041,125,0.9925,0.49,11.4,7
6.2,0.15,0.46,1.6,0.039,123,0.993,0.51,9.7,6
6.6,0.14,0.44,1.6,0.042,140,0.993,0.51,10.2,6
7.1,0.2,0.41,2.1,0.054,166,0.9948,0.62,10.5,6
6.2,0.34,0.29,7.6,0.047,232,0.9955,0.62,10,6
8.8,0.17,0.38,1.8,0.04,148,0.9942,0.67,10.2,6
7.5,0.17,0.37,1.5,0.06,75,0.9936,0.88,10.7,5
7.7,0.275,0.3,1,0.039,75,0.992,0.56,10.7,5
7.5,0.33,0.48,19.45,0.048,243,1.001,0.4,8.8,5
6.5,0.19,0.1,1.3,0.046,107,0.9937,0.45,10,5
7.3,0.24,0.34,7.5,0.048,152,0.9962,0.54,9,5
9.4,0.29,0.55,2.2,0.05,119,0.9962,0.69,10.3,4
7.2,0.51,0.24,10,0.093,197,0.9981,0.47,9,5
8.3,0.22,0.38,14.8,0.054,126,1.0002,0.5,9.7,5
6.4,0.3,0.51,5.5,0.048,172,0.9942,0.45,9.1,6
6.2,0.55,0.45,12,0.049,186,0.9974,0.5,9.3,6
6.5,0.26,0.34,16.3,0.051,197,1.0004,0.42,9.8,5
7,0.17,0.33,4,0.034,127,0.9934,0.39,10.6,7
6.5,0.28,0.26,8.8,0.04,139,0.9956,0.37,10.2,6
6.3,0.16,0.4,1.6,0.033,148,0.9914,0.53,11.4,5
7.9,0.29,0.39,6.7,0.036,117,0.9938,0.42,10.7,5
7.3,0.31,0.69,10.2,0.041,160,0.9977,0.45,8.6,5
5.2,0.24,0.45,3.8,0.027,128,0.992,0.49,11.2,8
7.2,0.37,0.15,2,0.029,87,0.9903,0.59,12.6,7
6.1,0.29,0.27,1.7,0.024,76,0.9893,0.51,12.6,7
9.2,0.22,0.4,2.4,0.054,151,0.9952,0.46,9.3,4
5.9,0.415,0.13,1.4,0.04,64,0.9922,0.52,10.5,5
6.7,0.105,0.32,12.4,0.051,106,0.998,0.45,9.2,6
6.4,0.125,0.29,5.85,0.042,99,0.992,0.32,12,7
7.9,0.25,0.29,5.3,0.031,117,0.9918,0.32,11.8,7
6.8,0.39,0.31,14.35,0.043,162,0.9988,0.54,9.1,5
7.4,0.41,0.34,4.7,0.042,127,0.9953,0.42,10.4,5
6.7,0.25,0.34,12.85,0.048,161,0.9986,0.47,9.5,6
6,0.26,0.42,5.2,0.027,178,0.9914,0.4,12.3,8
9.2,0.28,0.46,3.2,0.058,133,0.996,0.58,9.5,5
9.3,0.34,0.49,7.3,0.052,146,0.998,0.61,10.2,5
9.2,0.28,0.46,3.2,0.058,133,0.996,0.58,9.5,5
6.7,0.25,0.23,7.2,0.038,220,0.9952,0.35,9.5,5
6.8,0.32,0.18,7.5,0.041,223,0.9959,0.41,8.9,5
6.1,0.6,0,1.3,0.042,79,0.9937,0.38,9.4,4
5.3,0.395,0.07,1.3,0.035,102,0.992,0.35,10.6,6
7.6,0.33,0.36,2.1,0.034,172,0.9944,0.48,10.5,4
7.8,0.3,0.29,16.85,0.054,135,0.9998,0.38,9,6
7.8,0.3,0.29,16.85,0.054,135,0.9998,0.38,9,6
7.8,0.3,0.29,16.85,0.054,135,0.9998,0.38,9,6
7.5,0.14,0.34,1.3,0.055,153,0.9945,0.8,9.6,6
5.7,0.26,0.27,4.1,0.201,189.5,0.9942,0.38,9.4,6
6,0.24,0.32,6.3,0.03,129,0.9946,0.41,10.4,5
7.4,0.23,0.43,1.4,0.044,113,0.9938,0.62,10.6,6
7.4,0.22,0.33,2,0.045,101,0.9931,0.55,11.4,5
6.8,0.25,0.29,2,0.042,189,0.9952,0.54,10.2,6
6.6,0.21,0.38,2.2,0.026,104,0.9914,0.4,11.1,8
7.1,0.21,0.3,1.4,0.037,143,0.9932,0.33,9.9,6
7.6,0.26,0.47,1.6,0.068,55,0.9944,0.45,9.6,5
6.9,0.25,0.26,5.2,0.024,135,0.9948,0.72,10.7,7
7.1,0.26,0.32,14.45,0.074,107,0.998,0.42,9.2,6
6.9,0.25,0.26,5.2,0.024,135,0.9948,0.72,10.7,7
7.3,0.22,0.4,14.75,0.042,129.5,0.9998,0.41,9.1,7
7,0.17,0.37,1.5,0.028,75,0.9922,0.46,10.8,7
5,0.33,0.16,1.5,0.049,97,0.9917,0.44,10.7,6
5,0.33,0.16,1.5,0.049,97,0.9917,0.44,10.7,6
8,0.23,0.46,1.5,0.03,125,0.9907,0.47,12.5,6
7.3,0.27,0.39,6.7,0.064,188,0.9958,0.3,9.7,5
6.4,0.23,0.33,1.15,0.044,217.5,0.992,0.44,11,6
7.3,0.29,0.3,13,0.043,238,0.9986,0.41,8.7,6
7.7,0.39,0.3,5.2,0.037,131,0.9943,0.44,11,6
7.8,0.32,0.31,1.7,0.036,195,0.993,0.48,10.5,5
10.3,0.25,0.48,2.2,0.042,164,0.998,0.59,9.7,5
7.4,0.18,0.42,2.1,0.036,187,0.9938,0.41,10.6,7
6.4,0.26,0.22,5.1,0.037,131,0.9944,0.32,10.1,5
7.2,0.18,0.31,1.1,0.045,73,0.9925,0.4,10.8,7
5.3,0.26,0.23,5.15,0.034,160,0.9952,0.51,10.5,7
5.7,0.245,0.33,1.1,0.049,150,0.9927,0.42,9.3,5
6.4,0.17,0.27,6.7,0.036,223,0.9948,0.35,10.2,6
6.9,0.29,0.16,6.8,0.034,212,0.9955,0.39,9,6
6.2,0.21,0.38,6.8,0.036,245,0.9951,0.36,9.3,6
