"tartaric_acid","acetic_acid","citric_acid","residual_sugar","sodium_chloride","free_sulfur_dioxide","total_sulfur_dioxide","density","pH","potassium_sulphate","alcohol","quality"
6.8,0.27,0.26,16.1,0.049,55,196,0.9984,3.15,0.5,9.3,5
5.8,0.28,0.35,2.3,0.053,36,114,0.9924,3.28,0.5,10.2,4
10.2,0.44,0.88,6.2,0.049,20,124,0.9968,2.99,0.51,9.9,4
6.1,0.4,0.31,0.9,0.048,23,170,0.993,3.22,0.77,9.5,6
7.2,0.685,0.21,9.5,0.07,33,172,0.9971,3,0.55,9.1,6
6.4,0.17,0.32,2.4,0.048,41,200,0.9938,3.5,0.5,9.7,6
7.2,0.23,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9,6
5.6,0.19,0.26,1.4,0.03,12,76,0.9905,3.25,0.37,10.9,7
6.1,0.41,0.14,10.4,0.037,18,119,0.996,3.38,0.45,10,5
6.7,0.26,0.39,1.1,0.04,45,147,0.9935,3.32,0.58,9.6,8
6.3,0.35,0.3,5.7,0.035,8,97,0.9927,3.27,0.41,11,7
6.9,0.28,0.4,8.2,0.036,15,95,0.9944,3.17,0.33,10.2,5
7.2,0.29,0.4,13.6,0.045,66,231,0.9977,3.08,0.59,9.6,6
6.9,0.29,0.4,19.45,0.043,36,156,0.9996,2.93,0.47,8.9,5
5.3,0.58,0.07,6.9,0.043,34,149,0.9944,3.34,0.57,9.7,5
6.6,0.19,0.41,8.9,0.046,51,169,0.9954,3.14,0.57,9.8,6
6.7,0.2,0.41,9.1,0.044,50,166,0.9954,3.14,0.58,9.8,6
7.7,0.26,0.4,1.1,0.042,9,60,0.9915,2.89,0.5,10.6,5
6.7,0.34,0.3,15.6,0.054,51,196,0.9982,3.19,0.49,9.3,5
7.1,0.35,0.24,15.4,0.055,46,198,0.9988,3.12,0.49,8.8,5
7.3,0.32,0.25,7.2,0.056,47,180,0.9961,3.08,0.47,8.8,5
6.5,0.28,0.33,15.7,0.053,51,190,0.9978,3.22,0.51,9.7,6
7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,7
7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,7
6.1,0.41,0,1.6,0.063,36,87,0.9914,3.27,0.67,10.8,6
7.2,0.43,0.24,6.7,0.058,40,163,0.995,3.2,0.41,9.9,5
7.3,0.4,0.24,6.7,0.058,41,166,0.995,3.2,0.41,9.9,6
5.8,0.34,0.21,6.6,0.04,50,167,0.9941,3.29,0.62,10,5
6.6,0.24,0.35,7.7,0.031,36,135,0.9938,3.19,0.37,10.5,5
6.1,0.125,0.25,3.3,0.04,10,69,0.9934,3.54,0.59,10.1,6
6.8,0.28,0.44,9.3,0.031,35,137,0.9946,3.16,0.36,10.4,6
7.5,0.27,0.31,5.8,0.057,131,313,0.9946,3.18,0.59,10.5,5
6.4,0.34,0.23,6.3,0.039,37,143,0.9944,3.19,0.65,10,6
7.2,0.21,0.41,1.3,0.036,33,85,0.992,3.17,0.51,10.4,5
6.8,0.24,0.34,4.6,0.032,37,135,0.9927,3.2,0.39,10.6,5
6.4,0.26,0.42,9.7,0.044,30,140,0.9962,3.18,0.47,9.1,6
7.8,0.18,0.46,13.6,0.052,38,118,0.998,3.15,0.5,10,6
7.3,0.33,0.4,6.85,0.038,32,138,0.992,3.03,0.3,11.9,7
5.5,0.335,0.3,2.5,0.071,27,128,0.9924,3.14,0.51,9.6,6
7.3,0.22,0.37,14.3,0.063,48,191,0.9978,2.89,0.38,9,6
6.1,0.36,0.33,1.1,0.05,24,169,0.9927,3.15,0.78,9.5,6
10,0.2,0.39,1.4,0.05,19,152,0.994,3,0.42,10.4,6
6.9,0.24,0.34,4.7,0.04,43,161,0.9935,3.2,0.59,10.6,6
7.1,0.365,0.14,1.2,0.055,24,84,0.9941,3.15,0.43,8.9,5
6.8,0.15,0.3,5.3,0.05,40,127,0.9942,3.4,0.39,9.7,6
7.3,0.22,0.37,14.3,0.063,48,191,0.9978,2.89,0.38,9,6
6,0.36,0.39,3.2,0.027,20,125,0.991,3.38,0.39,11.3,7
6.7,0.21,0.32,5.4,0.047,29,140,0.995,3.39,0.46,9.7,6
6.8,0.22,0.31,6.3,0.035,33,170,0.9918,3.24,0.66,12.6,6
8.2,0.28,0.42,1.8,0.031,30,93,0.9917,3.09,0.39,11.4,5
7.2,0.25,0.39,18.95,0.038,42,155,0.9999,2.97,0.47,9,6
7.2,0.19,0.39,1.2,0.036,32,85,0.9918,3.16,0.5,10.5,5
7.4,0.21,0.27,1.2,0.041,27,99,0.9927,3.19,0.33,9.8,6
7.4,0.31,0.28,1.6,0.05,33,137,0.9929,3.31,0.56,10.5,6
7,0.21,0.28,8.6,0.045,37,221,0.9954,3.25,0.54,10.4,6
7,0.21,0.28,8.6,0.045,37,221,0.9954,3.25,0.54,10.4,6
7,0.21,0.28,8.7,0.045,37,222,0.9954,3.25,0.54,10.4,6
6.8,0.29,0.5,13.3,0.053,48,194,0.9974,3.09,0.45,9.4,5
6.4,0.34,0.1,1.1,0.048,19,84,0.9927,3.21,0.38,9.8,5
6.1,0.28,0.32,2.5,0.042,23,218.5,0.9935,3.27,0.6,9.8,5
6.6,0.16,0.32,1.4,0.035,49,186,0.9906,3.35,0.64,12.4,8
7.1,0.32,0.32,11,0.038,16,66,0.9937,3.24,0.4,11.5,3
6.5,0.41,0.24,14,0.048,24,113,0.9982,3.44,0.53,9.8,6
6.5,0.41,0.24,14,0.048,24,113,0.9982,3.44,0.53,9.8,6
6.1,0.2,0.25,1.2,0.038,34,128,0.9921,3.24,0.44,10.1,5
6,0.37,0.32,1,0.053,31,218.5,0.9924,3.29,0.72,9.8,6
6.1,0.43,0.35,9.1,0.059,83,249,0.9971,3.37,0.5,8.5,5
6.8,0.32,0.21,2.2,0.044,15,68,0.9932,3.17,0.39,9.4,6
7.2,0.39,0.62,11,0.047,66,178,0.9976,3.16,0.5,8.7,5
7.2,0.29,0.53,18.15,0.047,59,182,0.9992,3.09,0.52,9.6,5
8.6,0.37,0.7,12.15,0.039,21,158,0.9983,3,0.73,9.3,6
6.5,0.38,0.34,3.4,0.036,34,200,0.9937,3.14,0.76,10,5
5.9,0.36,0.41,1.3,0.047,45,104,0.9917,3.33,0.51,10.6,6
7.8,0.19,0.26,8.9,0.039,42,182,0.996,3.18,0.46,9.9,6
5.7,0.335,0.34,1,0.04,13,174,0.992,3.27,0.66,10,5
7.2,0.28,0.54,16.7,0.045,54,200,0.999,3.08,0.49,9.5,6
6.4,0.3,0.3,2.25,0.038,8,210,0.9937,3.2,0.62,9.9,6
6.5,0.3,0.29,2.25,0.037,8,210,0.9937,3.19,0.62,9.9,5
7.8,0.18,0.31,12.2,0.053,46,140,0.998,3.06,0.53,8.9,6
7.3,0.51,0.26,3.3,0.09,7,135,0.9944,3.01,0.52,8.8,5
6,0.24,0.27,1.9,0.048,40,170,0.9938,3.64,0.54,10,7
7.2,0.34,0.34,12.6,0.048,7,41,0.9942,3.19,0.4,11.7,5
5.6,0.35,0.37,1,0.038,6,72,0.9902,3.37,0.34,11.4,5
7.2,0.31,0.46,5,0.04,3,29,0.9906,3.04,0.53,12.5,4
6.4,0.1,0.35,4.9,0.048,31,103,0.9947,3.43,0.79,9.7,6
7.4,0.25,0.36,13.2,0.067,53,178,0.9976,3.01,0.48,9,6
5.5,0.35,0.35,1.1,0.045,14,167,0.992,3.34,0.68,9.9,6
6.7,0.24,0.41,8.7,0.036,29,148,0.9952,3.22,0.62,9.9,6
6.4,0.16,0.22,1.4,0.04,41,149,0.9933,3.49,0.58,10,6
7.7,0.22,0.42,1.9,0.052,10,87,0.9922,3.3,0.49,11.8,6
9.2,0.25,0.34,1.2,0.026,31,93,0.9916,2.93,0.37,11.3,7
7,0.3,0.51,13.6,0.05,40,168,0.9976,3.07,0.52,9.6,7
7.8,0.28,0.34,1.6,0.028,32,118,0.9901,3,0.38,12.1,7
8.4,0.35,0.71,12.2,0.046,22,160,0.9982,2.98,0.65,9.4,5
6.1,0.41,0.24,1.6,0.049,16,137,0.993,3.32,0.5,10.4,6
7.2,0.34,0.44,4.2,0.047,51,144,0.991,3.01,0.76,12.3,6
7.4,0.3,0.22,1.4,0.046,16,135,0.9928,3.08,0.77,10.4,7
6.5,0.28,0.27,5.2,0.04,44,179,0.9948,3.19,0.69,9.4,6
6.5,0.28,0.29,2.7,0.038,26,107,0.9912,3.32,0.41,11.6,7
6.7,0.34,0.54,16.3,0.047,44,181,0.9987,3.04,0.56,8.8,5
7.4,0.2,0.33,1.9,0.035,39,138,0.991,3.17,0.44,11.7,7
8.2,0.22,0.3,1.8,0.047,47,185,0.9933,3.13,0.5,10.2,6
6.5,0.28,0.29,2.7,0.038,26,107,0.9912,3.32,0.41,11.6,7
6,0.38,0.26,6,0.034,42,134,0.9912,3.38,0.38,12.3,7
6.9,0.41,0.33,10.1,0.043,28,152,0.9968,3.2,0.52,9.4,5
6.4,0.45,0.07,1.1,0.03,10,131,0.9905,2.97,0.28,10.8,5
6.9,0.41,0.33,10.1,0.043,28,152,0.9968,3.2,0.52,9.4,5
7,0.29,0.37,4.9,0.034,26,127,0.9928,3.17,0.44,10.8,6
7.2,0.24,0.4,1.4,0.045,31,106,0.9914,2.88,0.38,10.8,6
7.3,0.25,0.29,7.5,0.049,38,158,0.9965,3.43,0.38,9.6,5
7.8,0.26,0.27,1.9,0.051,52,195,0.9928,3.23,0.5,10.9,6
6,0.36,0.06,1.4,0.066,27,128,0.9934,3.26,0.55,9.3,5
6.2,0.24,0.29,13.3,0.039,49,130,0.9952,3.33,0.46,11,8
5.8,0.31,0.33,1.2,0.036,23,99,0.9916,3.18,0.6,10.5,6
7,0.23,0.42,18.05,0.05,35,144,0.9999,3.22,0.42,8.8,5
6.9,0.24,0.33,4.8,0.04,16,131,0.9936,3.26,0.64,10.7,6
6,0.29,0.2,12.6,0.045,45,187,0.9972,3.33,0.42,9.5,5
5.9,0.14,0.25,4.5,0.027,34,140,0.9934,3.49,0.51,10.8,6
7.4,0.28,0.25,11.9,0.053,25,148,0.9976,3.1,0.62,9.2,5
5.6,0.235,0.29,1.2,0.047,33,127,0.991,3.34,0.5,11,7
6.3,0.26,0.25,7.8,0.058,44,166,0.9961,3.24,0.41,9,5
7.1,0.26,0.34,14.4,0.067,35,189,0.9986,3.07,0.53,9.1,7
7.1,0.26,0.34,14.4,0.067,35,189,0.9986,3.07,0.53,9.1,7
5.9,0.24,0.26,12.3,0.053,34,134,0.9972,3.34,0.45,9.5,6
6.5,0.21,0.37,2.5,0.048,70,138,0.9917,3.33,0.75,11.4,7
7.3,0.34,0.21,3.2,0.05,14,136,0.9936,3.25,0.44,10.2,5
6.8,0.29,0.16,1.4,0.038,122.5,234.5,0.9922,3.15,0.47,10,4
7.1,0.28,0.26,1.9,0.049,12,86,0.9934,3.15,0.38,9.4,5
7.8,0.42,0.26,9.2,0.058,34,199,0.9972,3.14,0.55,9.3,6
6.7,0.31,0.3,2.1,0.038,18,130,0.9928,3.36,0.63,10.6,6
5.9,0.29,0.25,12,0.057,48,224,0.9981,3.23,0.41,9,6
6.8,0.34,0.69,1.3,0.058,12,171,0.9931,3.06,0.47,9.7,5
6.4,0.27,0.32,4.5,0.24,61,174,0.9948,3.12,0.48,9.4,5
6.8,0.67,0.3,13,0.29,22,193,0.9984,3.08,0.67,9,4
6,0.36,0.16,6.3,0.036,36,191,0.9942,3.17,0.62,9.8,5
5.9,0.37,0.14,6.3,0.036,34,185,0.9944,3.17,0.63,9.8,5
7.6,0.29,0.58,17.5,0.041,51,225,0.9997,3.16,0.66,9.5,6
7.5,0.31,0.51,14.8,0.039,62,204,0.9982,3.06,0.6,9.5,5
8.4,0.4,0.7,13.1,0.042,29,197,0.998,3.06,0.64,9.7,5
6.6,0.38,0.18,1.2,0.042,20,84,0.9927,3.22,0.45,10.1,4
7.7,0.2,0.44,13.9,0.05,44,130,0.99855,3.11,0.48,10,6
6.1,0.25,0.24,12.1,0.046,51,172,0.998,3.35,0.45,9.5,5
8.2,0.27,0.43,1.6,0.035,31,128,0.9916,3.1,0.5,12.3,6
6.4,0.31,0.39,7.5,0.04,57,213,0.99475,3.32,0.43,10,5
6,0.39,0.26,2.7,0.038,39,187,0.99325,3.41,0.5,10.8,6
6,0.3,0.44,1.5,0.046,15,182,0.99455,3.5,0.52,10.4,5
8.8,0.28,0.45,6,0.022,14,49,0.9934,3.01,0.33,11.1,7
6.9,0.38,0.25,9.8,0.04,28,191,0.9971,3.28,0.61,9.2,5
6.9,0.38,0.25,9.8,0.04,28,191,0.9971,3.28,0.61,9.2,5
6.9,0.39,0.4,4.6,0.022,5,19,0.9915,3.31,0.37,12.6,3
7.4,0.38,0.27,7.5,0.041,24,160,0.99535,3.17,0.43,10,5
7.4,0.2,1.66,2.1,0.022,34,113,0.99165,3.26,0.55,12.2,6
6.9,0.18,0.38,8.1,0.049,44,176,0.9958,3.3,0.54,9.8,6
7.2,0.29,0.4,7.6,0.024,56,177,0.9928,3.04,0.32,11.5,6
6.9,0.2,0.5,10,0.036,78,167,0.9964,3.15,0.55,10.2,6
5.8,0.25,0.28,11.1,0.056,45,175,0.99755,3.42,0.43,9.5,5
6.9,0.18,0.38,8.1,0.049,44,176,0.9958,3.3,0.54,9.8,6
5,0.44,0.04,18.6,0.039,38,128,0.9985,3.37,0.57,10.2,6
6.3,0.3,0.28,5,0.042,36,168,0.99505,3.22,0.69,9.5,6
7.2,0.27,0.42,1.6,0.05,35,135,0.992,2.94,0.46,11,6
6.8,0.12,0.31,5.2,0.045,29,120,0.9942,3.41,0.46,9.8,7
8.3,0.14,0.45,1.5,0.039,18,98,0.99215,3.02,0.56,11,6
6.9,0.22,0.37,15,0.053,59,178,0.9992,3.37,0.82,9.5,7
8.1,0.17,0.44,14.1,0.053,43,145,1.0006,3.28,0.75,8.8,8
6,0.395,0,1.4,0.042,7,55,0.99135,3.37,0.38,11.2,4
7.7,0.34,0.28,11,0.04,31,117,0.99815,3.27,0.29,9.2,6
6.9,0.24,0.33,12.5,0.046,47,153,0.9983,3.28,0.77,9.6,6
6.8,0.39,0.35,11.6,0.044,57,220,0.99775,3.07,0.53,9.3,5
6.6,0.21,0.31,11.4,0.039,46,165,0.99795,3.41,0.44,9.8,7
7.3,0.32,0.34,6.6,0.032,24,112,0.99505,3.22,0.46,9.8,6
7.8,0.27,0.58,11.2,0.036,44,161,0.9977,3.06,0.41,8.9,6
6,0.28,0.49,6.8,0.048,61,222,0.9953,3.19,0.47,9.3,5
6.4,0.35,0.28,1.1,0.055,9,160,0.99405,3.42,0.5,9.1,7
7.9,0.35,0.24,15.6,0.072,44,229,0.99785,3.03,0.59,10.5,6
8.4,0.18,0.42,5.1,0.036,7,77,0.9939,3.16,0.52,11.7,5
6.2,0.3,0.17,2.8,0.04,24,125,0.9939,3.01,0.46,9,5
6.6,0.56,0.22,8.9,0.034,27,133,0.99675,3.2,0.51,9.1,5
7,0.21,0.37,7.2,0.042,36,167,0.9958,3.26,0.56,9.8,6
7.1,0.16,0.36,1.2,0.043,21,90,0.9925,3.16,0.42,11,7
7.4,0.17,0.4,5.5,0.037,34,161,0.9935,3.05,0.62,11.5,4
6.9,0.25,0.34,1.3,0.035,27,82,0.99045,3.18,0.44,12.2,6
7.3,0.205,0.31,1.7,0.06,34,110,0.9963,3.72,0.69,10.5,6
7.5,0.42,0.34,4.3,0.04,34,108,0.99155,3.14,0.45,12.8,8
8.7,0.23,0.32,13.4,0.044,35,169,0.99975,3.12,0.47,8.8,7
6,0.2,0.24,1.8,0.03,30,105,0.9909,3.31,0.47,11.5,6
8.2,0.38,0.49,13.6,0.042,58,166,0.99855,3.1,0.54,9.4,5
6.9,0.18,0.36,1.3,0.036,40,117,0.9934,3.27,0.95,9.5,7
6.9,0.18,0.36,1.3,0.036,40,117,0.9934,3.27,0.95,9.5,7
8.2,0.4,0.48,13.7,0.042,59,169,0.9986,3.1,0.52,9.4,5
7.3,0.25,0.42,14.2,0.041,57,182,0.9996,3.29,0.75,9.1,7
6.2,0.28,0.33,1.7,0.029,24,111,0.99,3.24,0.5,12.1,6
4.8,0.33,0,6.5,0.028,34,163,0.9937,3.35,0.61,9.9,5
6.1,0.27,0.33,2.2,0.021,26,117,0.9886,3.12,0.3,12.5,6
7.8,0.18,0.46,12.6,0.042,41,143,1,3.24,0.76,8.5,8
7.3,0.24,0.29,1.2,0.037,37,97,0.9926,3.19,0.7,10.1,6
6,0.45,0.65,9.7,0.08,11,159,0.9956,3.04,0.48,9.4,5
7.7,0.15,0.29,1.3,0.029,10,64,0.9932,3.35,0.39,10.1,5
7.1,0.21,0.32,2.2,0.037,28,141,0.993,3.2,0.57,10,7
6,0.28,0.34,1.6,0.119,33,104,0.9921,3.19,0.38,10.2,6
6.2,0.16,0.54,1.4,0.126,37,110,0.9932,3.23,0.37,8.9,6
7.4,0.26,0.43,6,0.022,22,125,0.9928,3.13,0.55,11.5,6
6.5,0.3,0.32,2,0.044,34,90,0.99185,3.37,0.68,11,7
5.8,0.26,0.18,1.2,0.031,40,114,0.9908,3.42,0.4,11,7
5.6,0.19,0.39,1.1,0.043,17,67,0.9918,3.23,0.53,10.3,6
6.8,0.18,0.28,8.7,0.047,52,242,0.9952,3.22,0.53,10.5,6
6.8,0.18,0.28,8.5,0.047,52,242,0.9952,3.22,0.53,10.5,6
7.4,0.13,0.39,4.7,0.042,36,137,0.995,3.36,0.56,10.3,7
7,0.24,0.34,1.4,0.031,27,107,0.99,3.06,0.39,11.9,6
7,0.11,0.32,4.6,0.057,59,144,0.9956,3.55,0.44,9.4,7
5.4,0.595,0.1,2.8,0.042,26,80,0.9932,3.36,0.38,9.3,5
6.5,0.25,0.35,12,0.055,47,179,0.998,3.58,0.47,10,5
6.1,0.36,0.58,15,0.044,42,115,0.9978,3.15,0.51,9,5
6.5,0.26,0.28,12.5,0.046,80,225,0.99685,3.18,0.41,10,6
5.9,0.29,0.33,7.4,0.037,58,205,0.99495,3.26,0.41,9.6,5
6.1,0.27,0.44,6.7,0.041,61,230,0.99505,3.12,0.4,8.9,5
6.4,0.43,0.32,1.4,0.048,10,67,0.992,3.08,0.41,11.4,5
7.7,0.24,0.29,15.3,0.044,39,194,0.9982,3.06,0.47,9.6,7
6.5,0.18,0.33,8,0.051,16,131,0.9965,3.28,0.44,8.7,7
6.7,0.15,0.29,5,0.058,28,105,0.9946,3.52,0.44,10.2,7
8.5,0.16,0.35,1.6,0.039,24,147,0.9935,2.96,0.36,10,5
6.8,0.705,0.25,3.2,0.048,10,57,0.996,3.36,0.52,9.5,4
7.6,0.345,0.26,1.9,0.043,15,134,0.9936,3.08,0.38,9.5,5
7.5,0.32,0.26,1.8,0.042,13,133,0.9938,3.07,0.38,9.5,5
6.6,0.2,0.32,1.1,0.039,25,78,0.9926,3.39,0.54,10.2,7
7.3,0.24,0.34,15.4,0.05,38,174,0.9983,3.03,0.42,9,6
7.3,0.24,0.34,15.4,0.05,38,174,0.9983,3.03,0.42,9,6
8.3,0.23,0.43,3.2,0.035,14,101,0.9928,3.15,0.36,11.5,5
6.5,0.34,0.28,1.8,0.041,43,188,0.9928,3.13,0.37,9.6,6
7.1,0.13,0.38,1.8,0.046,14,114,0.9925,3.32,0.9,11.7,6
6.6,0.13,0.3,4.9,0.058,47,131,0.9946,3.51,0.45,10.3,6
6.5,0.14,0.33,7.6,0.05,53,189,0.9966,3.25,0.49,8.6,5
6,0.2,0.71,1.6,0.15,10,54,0.9927,3.12,0.47,9.8,5
6,0.19,0.71,1.5,0.152,9,55,0.9927,3.12,0.46,9.8,6
5.1,0.39,0.21,1.7,0.027,15,72,0.9894,3.5,0.45,12.5,6
7.4,0.28,0.3,5.3,0.054,44,161,0.9941,3.12,0.48,10.3,6
7.4,0.3,0.3,5.2,0.053,45,163,0.9941,3.12,0.45,10.3,6
6.5,0.25,0.27,15.2,0.049,75,217,0.9972,3.19,0.39,9.9,5
7,0.24,0.18,1.3,0.046,9,62,0.994,3.38,0.47,10.1,4
6.1,0.24,0.27,9.8,0.062,33,152,0.9966,3.31,0.47,9.5,6
8,0.19,0.36,1.8,0.05,16,84,0.9936,3.15,0.45,9.8,7
6.9,0.24,0.39,1.3,0.063,18,136,0.9928,3.31,0.48,10.4,7
6.6,0.18,0.28,3.3,0.044,18,91,0.993,3.42,0.64,10.8,6
5.8,0.36,0.26,3.3,0.038,40,153,0.9911,3.34,0.55,11.3,6
6.1,0.16,0.27,12.6,0.064,63,162,0.9994,3.66,0.43,8.9,5
7.6,0.39,0.22,2.8,0.036,19,113,0.9926,3.03,0.29,10.2,5
6.8,0.37,0.47,11.2,0.071,44,136,0.9968,2.98,0.88,9.2,5
8.3,0.14,0.26,1.5,0.049,56,189,0.9946,3.21,0.62,9.5,6
8.6,0.2,0.42,1.5,0.041,35,125,0.9925,3.11,0.49,11.4,7
6.2,0.15,0.46,1.6,0.039,38,123,0.993,3.38,0.51,9.7,6
6.6,0.14,0.44,1.6,0.042,47,140,0.993,3.32,0.51,10.2,6
7.1,0.2,0.41,2.1,0.054,24,166,0.9948,3.48,0.62,10.5,6
6.2,0.34,0.29,7.6,0.047,45,232,0.9955,3.35,0.62,10,6
8.8,0.17,0.38,1.8,0.04,39,148,0.9942,3.16,0.67,10.2,6
7.5,0.17,0.37,1.5,0.06,18,75,0.9936,3.54,0.88,10.7,5
7.7,0.275,0.3,1,0.039,19,75,0.992,3.01,0.56,10.7,5
7.5,0.33,0.48,19.45,0.048,55,243,1.001,2.95,0.4,8.8,5
6.5,0.19,0.1,1.3,0.046,23,107,0.9937,3.29,0.45,10,5
7.3,0.24,0.34,7.5,0.048,29,152,0.9962,3.1,0.54,9,5
9.4,0.29,0.55,2.2,0.05,17,119,0.9962,3.12,0.69,10.3,4
7.2,0.51,0.24,10,0.093,35,197,0.9981,3.41,0.47,9,5
8.3,0.22,0.38,14.8,0.054,32,126,1.0002,3.22,0.5,9.7,5
6.4,0.3,0.51,5.5,0.048,62,172,0.9942,3.08,0.45,9.1,6
6.2,0.55,0.45,12,0.049,27,186,0.9974,3.17,0.5,9.3,6
6.5,0.26,0.34,16.3,0.051,56,197,1.0004,3.49,0.42,9.8,5
7,0.17,0.33,4,0.034,17,127,0.9934,3.19,0.39,10.6,7
6.5,0.28,0.26,8.8,0.04,44,139,0.9956,3.32,0.37,10.2,6
6.3,0.16,0.4,1.6,0.033,59,148,0.9914,3.44,0.53,11.4,5
7.9,0.29,0.39,6.7,0.036,6,117,0.9938,3.12,0.42,10.7,5
